Category,City,Country,Customer Name,Market,Customer ID,Order Date,Year (OrderDate),Order ID,Order Priority,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales,Shipping Cost,Order Date - Copy,Modulo,Target Sales,Poor,Satisfactory,Good,Sales w/o decimal
Technology,Toronto,Canada,Cynthia Sanchez,USCA,QF-98150,"Tuesday, December 19, 2023",2023,CA-2023-422588,Low,TEC-MA-194336,Program trip out stop require.,Canada,15665,Consumer,"Wednesday, December 20, 2023",First Class,Ontario,Machines,0.19,483.3373,7,1054.5949,105.46,2023-12-19,0,1537.9322000000002,1537.9322000000002,1537.9322000000002,1537.9322000000002,1054
Technology,São Paulo,Brazil,Pamela Alvarez,LATAM,HL-93127,"Tuesday, October 25, 2022",2022,BR-2022-424780,High,TEC-CO-741438,Physical these unit win.,South,49943,Corporate,"Friday, November 04, 2022",Second Class,São Paulo,Copiers,0.01,11.5648,3,148.5404,14.85,2022-10-25,0,160.1052,160.1052,160.1052,160.1052,148
Furniture,Los Angeles,United States,Kyle Ryan,USCA,TZ-50354,"Saturday, January 11, 2025",2025,UN-2025-859389,Medium,FUR-CH-822329,Street risk exactly debate.,West,43476,Consumer,"Thursday, January 16, 2025",First Class,California,Chairs,0.33,283.0908,6,831.1284,83.11,2025-01-11,0,1114.2192,1114.2192,1114.2192,1114.2192,831
Office Supplies,São Paulo,Brazil,Bryan Cruz,LATAM,OJ-10975,"Monday, January 30, 2023",2023,BR-2023-836235,Low,OFF-PA-741606,Director help special.,South,16782,Corporate,"Friday, February 03, 2023",Second Class,São Paulo,Paper,0.12,-59.1884,10,1044.0964,104.41,2023-01-30,0,984.9079999999999,984.9079999999999,984.9079999999999,984.9079999999999,1044
Technology,Medellín,Colombia,Dr. Christopher Cook,LATAM,LM-96633,"Sunday, November 21, 2021",2021,CO-2021-848943,High,TEC-PH-827604,Find guy full.,South,14943,Home Office,"Thursday, November 25, 2021",First Class,Antioquia,Phones,0.13,340.937,1,1234.748,123.47,2021-11-21,0,1575.685,1575.685,1575.685,1575.685,1234
Furniture,Bogotá,Colombia,Patrick Williams,LATAM,PH-16305,"Friday, July 25, 2025",2025,CO-2025-460528,Medium,FUR-FU-243993,A view produce candidate.,South,28308,Corporate,"Monday, August 04, 2025",First Class,Bogotá,Furnishings,0.28,222.5955,8,875.2801,87.53,2025-07-25,0,1097.8755999999998,1097.8755999999998,1097.8755999999998,1097.8755999999998,875
Technology,Tegucigalpa,Honduras,Anthony Thomas MD,LATAM,KP-72144,"Tuesday, August 29, 2023",2023,HO-2023-112314,High,TEC-MA-276481,Offer culture sound.,Central,24004,Consumer,"Wednesday, September 06, 2023",Same Day,Francisco Morazán,Machines,0.31,-71.7904,6,210.9442,21.09,2023-08-29,0,139.1538,139.1538,139.1538,139.1538,210
Furniture,Sydney,Australia,Karen Meyer PhD,APAC,CO-51183,"Wednesday, July 03, 2024",2024,AU-2024-656462,High,FUR-CH-810814,Back have.,Oceania,30868,Consumer,"Saturday, July 06, 2024",Standard Class,New South Wales,Chairs,0.29,30.4148,6,64.0074,6.4,2024-07-03,0,94.4222,94.4222,94.4222,94.4222,64
Technology,Manchester,United Kingdom,Colton Thompson,EU,OX-61423,"Saturday, June 07, 2025",2025,UN-2025-231435,Critical,TEC-PH-472958,Population newspaper.,North,45942,Home Office,"Friday, June 13, 2025",Standard Class,England,Phones,0.28,58.0019,3,281.3919,28.14,2025-06-07,0,339.3938,339.3938,339.3938,339.3938,281
Office Supplies,Tokyo,Japan,Robert Adams,APAC,TE-24777,"Saturday, January 01, 2022",2022,JA-2022-259832,Medium,OFF-AP-775939,Trade treatment knowledge become them.,North Asia,43658,Consumer,"Monday, January 10, 2022",Standard Class,Tokyo,Appliances,0.11,-27.2141,2,108.2193,10.82,2022-01-01,0,81.0052,81.0052,81.0052,81.0052,108
Office Supplies,Paris,France,Chris Pennington,EU,UM-36345,"Thursday, July 18, 2024",2024,FR-2024-902335,High,OFF-AR-549541,Ready lay say.,West,44088,Consumer,"Friday, July 19, 2024",Second Class,Île-de-France,Art,0.12,-224.5363,1,807.7041,80.77,2024-07-18,0,583.1678,583.1678,583.1678,583.1678,807
Office Supplies,Toronto,Canada,Joshua Dunn,USCA,SF-22914,"Tuesday, November 08, 2022",2022,CA-2022-719639,Critical,OFF-ST-722922,Health over shake better coach.,Canada,22898,Home Office,"Tuesday, November 15, 2022",First Class,Ontario,Storage,0.3,-62.4468,7,900.3639,90.04,2022-11-08,0,837.9170999999999,837.9170999999999,837.9170999999999,837.9170999999999,900
Office Supplies,Spokane,United States,Jasmine Vasquez,USCA,ZJ-85989,"Saturday, January 13, 2024",2024,UN-2024-154962,Critical,OFF-PA-336369,Station be region western.,West,25125,Corporate,"Thursday, January 18, 2024",Standard Class,Washington,Paper,0.03,-413.4076,6,1203.9296,120.39,2024-01-13,0,790.5219999999999,790.5219999999999,790.5219999999999,790.5219999999999,1203
Office Supplies,Dallas,United States,Leslie Rocha,USCA,QP-25234,"Thursday, August 21, 2025",2025,UN-2025-947083,Low,OFF-AP-924932,Answer defense bill.,Central,38539,Corporate,"Saturday, August 30, 2025",Standard Class,Texas,Appliances,0.26,241.696,3,1351.3053,135.13,2025-08-21,0,1593.0013,1593.0013,1593.0013,1593.0013,1351
Office Supplies,Tokyo,Japan,Russell Gonzales,APAC,CX-12287,"Thursday, February 02, 2023",2023,JA-2023-476311,Low,OFF-AP-185531,Doctor Mrs performance.,North Asia,36597,Corporate,"Tuesday, February 07, 2023",First Class,Tokyo,Appliances,0.35,7.3864,9,643.1177,64.31,2023-02-02,0,650.5041,650.5041,650.5041,650.5041,643
Technology,Toronto,Canada,Julie Martin,USCA,UO-43723,"Sunday, July 10, 2022",2022,CA-2022-995132,Low,TEC-AC-901445,Seat food happy try.,Canada,34914,Home Office,"Friday, July 15, 2022",Second Class,Ontario,Accessories,0.11,-54.1756,9,311.9303,31.19,2022-07-10,0,257.75469999999996,257.75469999999996,257.75469999999996,257.75469999999996,311
Technology,Tokyo,Japan,Donna Smith,APAC,BM-11220,"Wednesday, December 27, 2023",2023,JA-2023-162764,Low,TEC-PH-205663,I generation skin such me.,North Asia,47680,Corporate,"Monday, January 01, 2024",Second Class,Tokyo,Phones,0.0,331.9178,8,1230.3539,123.04,2023-12-27,0,1562.2717,1562.2717,1562.2717,1562.2717,1230
Office Supplies,Shanghai,China,Aaron Randall,APAC,BG-43157,"Sunday, April 24, 2022",2022,CH-2022-514239,Low,OFF-AR-634424,Traditional his.,North Asia,39685,Corporate,"Monday, April 25, 2022",First Class,Shanghai,Art,0.21,28.0857,10,280.6978,28.07,2022-04-24,0,308.78349999999995,308.78349999999995,308.78349999999995,308.78349999999995,280
Technology,Rio de Janeiro,Brazil,Brenda Scott,LATAM,FD-64246,"Monday, February 05, 2024",2024,BR-2024-386521,Critical,TEC-CO-870021,Exactly experience performance attorney likely.,South,36116,Home Office,"Thursday, February 08, 2024",Standard Class,Rio de Janeiro,Copiers,0.17,461.61,1,1233.4299,123.34,2024-02-05,0,1695.0399000000002,1695.0399000000002,1695.0399000000002,1695.0399000000002,1233
Office Supplies,Munich,Germany,Hannah Sanchez,EU,PE-14560,"Saturday, November 20, 2021",2021,GE-2021-240028,High,OFF-PA-520616,Share all.,West,44705,Consumer,"Saturday, November 27, 2021",Second Class,Bavaria,Paper,0.25,-114.2442,9,316.1172,31.61,2021-11-20,0,201.87300000000002,201.87300000000002,201.87300000000002,201.87300000000002,316
Technology,San Francisco,United States,Summer Keith,USCA,IF-35005,"Thursday, March 23, 2023",2023,UN-2023-938044,High,TEC-PH-607494,Rise and movement city quality.,West,48444,Home Office,"Saturday, March 25, 2023",First Class,California,Phones,0.2,-3.4271,1,28.0136,2.8,2023-03-23,0,24.5865,24.5865,24.5865,24.5865,28
Office Supplies,Tegucigalpa,Honduras,Carl Wilson,LATAM,KT-62855,"Friday, September 06, 2024",2024,HO-2024-765904,Critical,OFF-AP-791954,Last simple speech.,Central,47270,Consumer,"Tuesday, September 10, 2024",Second Class,Francisco Morazán,Appliances,0.03,-18.5955,10,123.4076,12.34,2024-09-06,0,104.8121,104.8121,104.8121,104.8121,123
Technology,Bogotá,Colombia,Zachary Huffman,LATAM,WG-85590,"Saturday, July 26, 2025",2025,CO-2025-952554,Medium,TEC-PH-129835,Eye defense window.,South,19192,Corporate,"Tuesday, July 29, 2025",First Class,Bogotá,Phones,0.32,-456.5334,1,1104.9874,110.5,2025-07-26,0,648.454,648.454,648.454,648.454,1104
Office Supplies,Toronto,Canada,Brooke Jones,USCA,KY-95834,"Wednesday, January 26, 2022",2022,CA-2022-835254,High,OFF-AP-360850,Laugh mention.,Canada,41530,Home Office,"Tuesday, February 01, 2022",Standard Class,Ontario,Appliances,0.27,-172.4895,7,895.3899,89.54,2022-01-26,0,722.9004,722.9004,722.9004,722.9004,895
Technology,Melbourne,Australia,Melissa Jones,APAC,OB-93777,"Thursday, January 23, 2025",2025,AU-2025-104348,Low,TEC-MA-534457,Clear measure out religious.,Oceania,22183,Corporate,"Tuesday, January 28, 2025",Second Class,Victoria,Machines,0.24,252.233,7,822.6894,82.27,2025-01-23,0,1074.9224,1074.9224,1074.9224,1074.9224,822
Furniture,Augusta,United States,Corey Murphy,USCA,JO-96839,"Wednesday, July 13, 2022",2022,UN-2022-484614,Critical,FUR-FU-213437,Site foot care ago.,South,48716,Home Office,"Sunday, July 17, 2022",Standard Class,Georgia,Furnishings,0.28,-59.7621,7,454.0863,45.41,2022-07-13,0,394.3242,394.3242,394.3242,394.3242,454
Furniture,Dallas,United States,Erika Harris,USCA,RT-87218,"Friday, July 21, 2023",2023,UN-2023-917580,Medium,FUR-FU-885547,By news piece response.,Central,32107,Home Office,"Saturday, July 22, 2023",Same Day,Texas,Furnishings,0.34,-333.0949,3,881.9384,88.19,2023-07-21,0,548.8435,548.8435,548.8435,548.8435,881
Office Supplies,Shanghai,China,Andrew Barker,APAC,FU-70475,"Sunday, November 21, 2021",2021,CH-2021-739638,Low,OFF-PA-418217,Even discover understand.,North Asia,49288,Corporate,"Tuesday, November 30, 2021",First Class,Shanghai,Paper,0.18,32.7585,8,159.074,15.91,2021-11-21,0,191.8325,191.8325,191.8325,191.8325,159
Technology,Tegucigalpa,Honduras,Jillian Murphy,LATAM,KQ-19042,"Saturday, November 11, 2023",2023,HO-2023-988083,High,TEC-CO-151697,Back sister.,Central,43088,Corporate,"Monday, November 20, 2023",First Class,Francisco Morazán,Copiers,0.08,207.7031,6,1298.7517,129.88,2023-11-11,0,1506.4548,1506.4548,1506.4548,1506.4548,1298
Office Supplies,Bogotá,Colombia,Donald Molina,LATAM,RL-56882,"Tuesday, August 08, 2023",2023,CO-2023-498665,Low,OFF-PA-189274,School recognize season.,South,12195,Home Office,"Monday, August 14, 2023",Standard Class,Bogotá,Paper,0.28,458.2414,1,1440.6859,144.07,2023-08-08,0,1898.9272999999998,1898.9272999999998,1898.9272999999998,1898.9272999999998,1440
Technology,Rio de Janeiro,Brazil,Melissa Bell,LATAM,SY-22679,"Friday, June 27, 2025",2025,BR-2025-536982,Medium,TEC-PH-600224,Address travel material.,South,40128,Corporate,"Wednesday, July 02, 2025",Standard Class,Rio de Janeiro,Phones,0.37,-257.0456,3,896.629,89.66,2025-06-27,0,639.5834,639.5834,639.5834,639.5834,896
Furniture,London,United Kingdom,Jillian Morgan,EU,RZ-46210,"Sunday, August 18, 2024",2024,UN-2024-689295,Critical,FUR-TA-668304,Successful type shoulder plan.,North,13345,Home Office,"Tuesday, August 20, 2024",Standard Class,England,Tables,0.27,-9.463,8,869.4442,86.94,2024-08-18,0,859.9812000000001,859.9812000000001,859.9812000000001,859.9812000000001,869
Furniture,Montreal,Canada,Madison Mcdonald,USCA,AP-99933,"Saturday, March 12, 2022",2022,CA-2022-595646,High,FUR-TA-172220,It far friend bring.,Canada,34581,Corporate,"Sunday, March 13, 2022",Same Day,Quebec,Tables,0.27,84.1666,2,607.2601,60.73,2022-03-12,0,691.4267,691.4267,691.4267,691.4267,607
Furniture,Orlando,United States,Joan Coffey,USCA,VA-78063,"Friday, March 22, 2024",2024,UN-2024-711431,Medium,FUR-CH-209407,Ok theory over.,South,35848,Corporate,"Monday, March 25, 2024",Second Class,Florida,Chairs,0.21,40.3925,3,141.329,14.13,2024-03-22,0,181.7215,181.7215,181.7215,181.7215,141
Furniture,Marseille,France,Christine Hall,EU,VF-98089,"Sunday, May 15, 2022",2022,FR-2022-228176,Medium,FUR-FU-123182,Old mouth life true government.,West,24162,Home Office,"Sunday, May 22, 2022",Second Class,Provence-Alpes-Côte d'Azur,Furnishings,0.3,-3.5033,5,385.8985,38.59,2022-05-15,0,382.3952,382.3952,382.3952,382.3952,385
Furniture,Manchester,United Kingdom,Charles Kelley MD,EU,QF-25516,"Friday, December 15, 2023",2023,UN-2023-373203,Critical,FUR-CH-330739,Religious sound walk.,North,47421,Home Office,"Sunday, December 24, 2023",First Class,England,Chairs,0.07,306.0849,10,1263.7642,126.38,2023-12-15,0,1569.8491000000001,1569.8491000000001,1569.8491000000001,1569.8491000000001,1263
Office Supplies,Philadelphia,United States,Anthony Flynn,USCA,PE-86613,"Friday, March 31, 2023",2023,UN-2023-439898,Medium,OFF-ST-397305,Long home product.,East,41210,Home Office,"Sunday, April 09, 2023",Same Day,Pennsylvania,Storage,0.05,-156.8373,7,1172.2888,117.23,2023-03-31,0,1015.4515,1015.4515,1015.4515,1015.4515,1172
Office Supplies,Houston,United States,Lisa York,USCA,UJ-64749,"Wednesday, October 02, 2024",2024,UN-2024-405081,Low,OFF-AR-860681,Rest local and history.,Central,12827,Corporate,"Tuesday, October 08, 2024",Second Class,Texas,Art,0.29,-33.499,10,456.6015,45.66,2024-10-02,0,423.10249999999996,423.10249999999996,423.10249999999996,423.10249999999996,456
Technology,Philadelphia,United States,Anthony Hill,USCA,CW-22217,"Wednesday, July 05, 2023",2023,UN-2023-244196,Low,TEC-CO-215149,Others control claim.,East,32028,Consumer,"Saturday, July 15, 2023",Standard Class,Pennsylvania,Copiers,0.15,55.7892,6,157.1492,15.71,2023-07-05,0,212.9384,212.9384,212.9384,212.9384,157
Technology,Philadelphia,United States,Ricky Pacheco,USCA,UU-69222,"Saturday, November 25, 2023",2023,UN-2023-258845,High,TEC-CO-491588,Week property lay design.,East,36441,Corporate,"Sunday, November 26, 2023",Same Day,Pennsylvania,Copiers,0.14,-288.4547,6,724.9624,72.5,2023-11-25,0,436.5077,436.5077,436.5077,436.5077,724
Furniture,Paris,France,Austin Kemp,EU,JK-65319,"Friday, September 22, 2023",2023,FR-2023-472327,Medium,FUR-BO-414362,Woman fast tend seek focus.,West,27767,Consumer,"Saturday, September 23, 2023",Standard Class,Île-de-France,Bookcases,0.06,-156.1953,3,1364.4645,136.45,2023-09-22,0,1208.2692,1208.2692,1208.2692,1208.2692,1364
Office Supplies,Yokohama,Japan,Mr. Joshua Wilson,APAC,HB-94445,"Tuesday, August 27, 2024",2024,JA-2024-136029,Critical,OFF-AR-257072,High side adult three.,North Asia,49811,Corporate,"Wednesday, August 28, 2024",Same Day,Kanagawa,Art,0.35,17.9956,4,92.2197,9.22,2024-08-27,0,110.2153,110.2153,110.2153,110.2153,92
Technology,Yokohama,Japan,Heather Price,APAC,IL-69999,"Saturday, June 18, 2022",2022,JA-2022-882467,Medium,TEC-CO-466939,Positive take hospital country.,North Asia,36727,Consumer,"Tuesday, June 28, 2022",First Class,Kanagawa,Copiers,0.2,126.6163,2,893.0692,89.31,2022-06-18,0,1019.6855,1019.6855,1019.6855,1019.6855,893
Technology,Guadalajara,Mexico,Andre Gordon,LATAM,IV-28523,"Saturday, January 15, 2022",2022,ME-2022-902288,Low,TEC-CO-615882,Employee that degree.,Central,29303,Consumer,"Saturday, January 22, 2022",Same Day,Jalisco,Copiers,0.34,378.9902,1,879.4848,87.95,2022-01-15,0,1258.475,1258.475,1258.475,1258.475,879
Technology,Seattle,United States,Martha Gentry,USCA,TD-16769,"Monday, July 01, 2024",2024,UN-2024-168835,Low,TEC-MA-737221,Student nothing.,West,16563,Consumer,"Wednesday, July 03, 2024",First Class,Washington,Machines,0.16,233.9997,1,876.2019,87.62,2024-07-01,0,1110.2016,1110.2016,1110.2016,1110.2016,876
Technology,San Pedro Sula,Honduras,Laura Casey,LATAM,ZH-75362,"Monday, April 28, 2025",2025,HO-2025-752744,High,TEC-PH-266155,Though along.,Central,34416,Consumer,"Wednesday, April 30, 2025",First Class,Cortés,Phones,0.28,194.9291,7,1276.5512,127.66,2025-04-28,0,1471.4803000000002,1471.4803000000002,1471.4803000000002,1471.4803000000002,1276
Office Supplies,San Francisco,United States,James Woods,USCA,RN-28716,"Saturday, September 21, 2024",2024,UN-2024-967336,Medium,OFF-AP-187978,Education beyond environmental.,West,17413,Consumer,"Friday, September 27, 2024",First Class,California,Appliances,0.22,-108.1015,5,958.4841,95.85,2024-09-21,0,850.3826,850.3826,850.3826,850.3826,958
Technology,Berlin,Germany,Crystal Ruiz,EU,YD-44753,"Saturday, December 11, 2021",2021,GE-2021-852085,Medium,TEC-CO-944426,Work law.,West,46053,Corporate,"Sunday, December 19, 2021",Second Class,Berlin,Copiers,0.02,38.3402,9,589.7327,58.97,2021-12-11,0,628.0729,628.0729,628.0729,628.0729,589
Office Supplies,Guadalajara,Mexico,Stephen Nelson,LATAM,JP-75627,"Saturday, October 08, 2022",2022,ME-2022-841171,Critical,OFF-ST-395383,Make trip before class.,Central,30385,Corporate,"Sunday, October 09, 2022",Second Class,Jalisco,Storage,0.28,-351.0331,6,732.3533,73.24,2022-10-08,0,381.3202,381.3202,381.3202,381.3202,732
Office Supplies,Bogotá,Colombia,Christina Espinoza,LATAM,MG-64058,"Saturday, February 24, 2024",2024,CO-2024-320147,Low,OFF-ST-133665,However sort single western.,South,39599,Consumer,"Thursday, February 29, 2024",Second Class,Bogotá,Storage,0.31,-2.5915,2,70.0641,7.01,2024-02-24,0,67.4726,67.4726,67.4726,67.4726,70
Technology,Philadelphia,United States,Tracy Kennedy,USCA,LG-84371,"Saturday, August 23, 2025",2025,UN-2025-373797,Critical,TEC-MA-255673,Space current not.,East,37474,Home Office,"Friday, August 29, 2025",Same Day,Pennsylvania,Machines,0.09,-54.7363,4,125.9901,12.6,2025-08-23,0,71.2538,71.2538,71.2538,71.2538,125
Furniture,London,United Kingdom,Amanda Sutton,EU,NQ-20583,"Thursday, May 15, 2025",2025,UN-2025-483510,Medium,FUR-TA-362158,Drive PM thus.,North,17422,Corporate,"Saturday, May 24, 2025",Same Day,England,Tables,0.19,40.2192,10,568.1911,56.82,2025-05-15,0,608.4103,608.4103,608.4103,608.4103,568
Technology,Beijing,China,William Gray,APAC,MV-94399,"Sunday, January 23, 2022",2022,CH-2022-126841,High,TEC-PH-691999,Sport impact while author.,North Asia,11587,Corporate,"Tuesday, February 01, 2022",Standard Class,Beijing,Phones,0.31,-128.0136,8,809.7528,80.98,2022-01-23,0,681.7392,681.7392,681.7392,681.7392,809
Technology,Beijing,China,Amanda Ortega,APAC,IY-30699,"Thursday, March 13, 2025",2025,CH-2025-916051,Critical,TEC-MA-138317,Tonight research test visit then.,North Asia,29692,Home Office,"Friday, March 14, 2025",Standard Class,Beijing,Machines,0.36,2.7626,6,473.4256,47.34,2025-03-13,0,476.1882,476.1882,476.1882,476.1882,473
Technology,Beijing,China,Kathy Morton,APAC,UM-79596,"Saturday, December 21, 2024",2024,CH-2024-491617,Low,TEC-AC-150230,Occur decade pass.,North Asia,33957,Consumer,"Tuesday, December 24, 2024",Standard Class,Beijing,Accessories,0.32,-203.6987,1,408.7858,40.88,2024-12-21,0,205.0871,205.0871,205.0871,205.0871,408
Furniture,Ottawa,Canada,Matthew Ramirez,USCA,SX-73570,"Friday, November 24, 2023",2023,CA-2023-212325,Medium,FUR-TA-160563,Window cause we get.,Canada,26019,Consumer,"Tuesday, November 28, 2023",Same Day,Ontario,Tables,0.2,225.1519,3,835.6028,83.56,2023-11-24,0,1060.7547,1060.7547,1060.7547,1060.7547,835
Furniture,San Pedro Sula,Honduras,Bobby Pacheco,LATAM,WX-22730,"Friday, June 30, 2023",2023,HO-2023-924315,Critical,FUR-CH-701230,Game beyond similar view.,Central,41847,Home Office,"Monday, July 10, 2023",Second Class,Cortés,Chairs,0.25,63.5266,2,824.7238,82.47,2023-06-30,0,888.2504,888.2504,888.2504,888.2504,824
Technology,Rio de Janeiro,Brazil,David Macias,LATAM,CB-38247,"Monday, April 24, 2023",2023,BR-2023-957310,Low,TEC-CO-350671,Investment suddenly and information film.,South,23924,Home Office,"Tuesday, April 25, 2023",First Class,Rio de Janeiro,Copiers,0.23,-417.0931,8,1450.6108,145.06,2023-04-24,0,1033.5176999999999,1033.5176999999999,1033.5176999999999,1033.5176999999999,1450
Office Supplies,Buffalo,United States,Katherine Greer,USCA,CG-23165,"Monday, December 16, 2024",2024,UN-2024-520375,Critical,OFF-BI-226165,Management chance movie despite.,East,43626,Home Office,"Wednesday, December 25, 2024",First Class,New York,Binders,0.11,15.2852,2,407.5195,40.75,2024-12-16,0,422.80469999999997,422.80469999999997,422.80469999999997,422.80469999999997,407
Technology,Melbourne,Australia,Troy Rodriguez,APAC,VY-99385,"Wednesday, June 28, 2023",2023,AU-2023-350577,Low,TEC-PH-880852,Officer away return challenge close.,Oceania,45608,Consumer,"Friday, July 07, 2023",First Class,Victoria,Phones,0.05,-21.186,8,169.5651,16.96,2023-06-28,0,148.3791,148.3791,148.3791,148.3791,169
Furniture,Guadalajara,Mexico,John Henderson,LATAM,DG-30042,"Friday, February 16, 2024",2024,ME-2024-698383,Critical,FUR-FU-848332,Fear city laugh.,Central,19179,Home Office,"Friday, February 23, 2024",First Class,Jalisco,Furnishings,0.23,42.069,6,455.7434,45.57,2024-02-16,0,497.8124,497.8124,497.8124,497.8124,455
Office Supplies,Los Angeles,United States,Rebecca Hess,USCA,IC-66729,"Monday, March 10, 2025",2025,UN-2025-606197,Low,OFF-PA-142718,Either scientist off cost.,West,28085,Corporate,"Tuesday, March 18, 2025",Second Class,California,Paper,0.17,-161.0134,3,343.8096,34.38,2025-03-10,0,182.7962,182.7962,182.7962,182.7962,343
Technology,New York City,United States,Christina King,USCA,IH-80313,"Sunday, July 06, 2025",2025,UN-2025-314850,Low,TEC-AC-895227,Health happy sure finally more.,East,20247,Corporate,"Monday, July 07, 2025",Second Class,New York,Accessories,0.03,-17.1808,2,55.5804,5.56,2025-07-06,0,38.39959999999999,38.39959999999999,38.39959999999999,38.39959999999999,55
Office Supplies,Shanghai,China,Erica Adams,APAC,UL-28061,"Saturday, October 29, 2022",2022,CH-2022-950249,Medium,OFF-AR-857240,Bed air.,North Asia,42243,Corporate,"Friday, November 04, 2022",Second Class,Shanghai,Art,0.19,186.2033,8,1230.3126,123.03,2022-10-29,0,1416.5158999999999,1416.5158999999999,1416.5158999999999,1416.5158999999999,1230
Furniture,Pittsburgh,United States,Connie Velasquez,USCA,IH-52975,"Wednesday, April 23, 2025",2025,UN-2025-766649,Low,FUR-CH-773706,Young follow fact yard.,East,49922,Corporate,"Wednesday, April 30, 2025",Same Day,Pennsylvania,Chairs,0.16,-41.235,6,296.9671,29.7,2025-04-23,0,255.7321,255.7321,255.7321,255.7321,296
Furniture,Tokyo,Japan,Emily Mosley,APAC,GB-35535,"Thursday, June 30, 2022",2022,JA-2022-107974,Low,FUR-FU-216782,Pattern dream majority onto.,North Asia,21943,Corporate,"Saturday, July 02, 2022",Second Class,Tokyo,Furnishings,0.05,328.8145,6,667.5602,66.76,2022-06-30,0,996.3747000000001,996.3747000000001,996.3747000000001,996.3747000000001,667
Technology,New York City,United States,Andrew Thomas,USCA,YE-97814,"Friday, August 30, 2024",2024,UN-2024-267041,Low,TEC-MA-169707,Get lawyer against.,East,34703,Consumer,"Monday, September 09, 2024",Second Class,New York,Machines,0.0,58.7833,2,989.4694,98.95,2024-08-30,0,1048.2527,1048.2527,1048.2527,1048.2527,989
Office Supplies,Toronto,Canada,Anthony Johnson,USCA,ON-97889,"Thursday, August 01, 2024",2024,CA-2024-698212,Low,OFF-PA-367632,Them course might.,Canada,21913,Home Office,"Wednesday, August 07, 2024",Second Class,Ontario,Paper,0.11,-77.9259,6,686.6613,68.67,2024-08-01,0,608.7354,608.7354,608.7354,608.7354,686
Office Supplies,Melbourne,Australia,Carrie Warner,APAC,OC-87292,"Monday, August 26, 2024",2024,AU-2024-324314,Medium,OFF-PA-254519,Person she policy wrong.,Oceania,23495,Corporate,"Saturday, August 31, 2024",Same Day,Victoria,Paper,0.29,-355.08,7,1180.8127,118.08,2024-08-26,0,825.7327,825.7327,825.7327,825.7327,1180
Technology,Buffalo,United States,Amber Brown,USCA,CE-67508,"Thursday, November 11, 2021",2021,UN-2021-292215,Low,TEC-CO-123115,Identify myself.,East,18682,Corporate,"Tuesday, November 16, 2021",First Class,New York,Copiers,0.3,-16.4369,3,349.5353,34.95,2021-11-11,0,333.0984,333.0984,333.0984,333.0984,349
Technology,São Paulo,Brazil,Sean Davis,LATAM,FJ-34927,"Saturday, May 03, 2025",2025,BR-2025-746568,Medium,TEC-AC-731948,Less increase political.,South,48682,Consumer,"Tuesday, May 13, 2025",Second Class,São Paulo,Accessories,0.23,41.4578,8,988.1551,98.82,2025-05-03,0,1029.6128999999999,1029.6128999999999,1029.6128999999999,1029.6128999999999,988
Technology,London,United Kingdom,Ashley Branch,EU,QU-50654,"Sunday, September 03, 2023",2023,UN-2023-658456,High,TEC-PH-455170,Yard hotel score.,North,22402,Home Office,"Tuesday, September 05, 2023",First Class,England,Phones,0.1,-79.5674,8,950.6752,95.07,2023-09-03,0,871.1078,871.1078,871.1078,871.1078,950
Office Supplies,Sydney,Australia,Beth Aguirre,APAC,MD-40962,"Wednesday, November 08, 2023",2023,AU-2023-494637,Low,OFF-BI-206569,Book cup him.,Oceania,21674,Corporate,"Tuesday, November 14, 2023",Same Day,New South Wales,Binders,0.35,-53.8825,8,597.9284,59.79,2023-11-08,0,544.0459,544.0459,544.0459,544.0459,597
Furniture,Aurora,United States,Charles Velez,USCA,KP-61003,"Monday, September 25, 2023",2023,UN-2023-859348,Low,FUR-FU-119868,Piece while star the occur.,Central,26132,Home Office,"Tuesday, September 26, 2023",Second Class,Illinois,Furnishings,0.31,284.0789,6,980.3564,98.04,2023-09-25,0,1264.4353,1264.4353,1264.4353,1264.4353,980
Office Supplies,Sydney,Australia,Kayla House,APAC,MW-83043,"Thursday, July 24, 2025",2025,AU-2025-502669,High,OFF-PA-331216,Just make trade.,Oceania,14649,Home Office,"Sunday, July 27, 2025",First Class,New South Wales,Paper,0.11,9.1449,8,782.2552,78.23,2025-07-24,0,791.4001,791.4001,791.4001,791.4001,782
Furniture,Berlin,Germany,Margaret Pennington,EU,IR-20002,"Thursday, August 15, 2024",2024,GE-2024-211429,Critical,FUR-TA-850426,Anyone turn western pattern carry.,West,27025,Corporate,"Monday, August 19, 2024",Same Day,Berlin,Tables,0.21,366.5031,9,1073.9833,107.4,2024-08-15,0,1440.4864000000002,1440.4864000000002,1440.4864000000002,1440.4864000000002,1073
Technology,London,United Kingdom,Tracy Ward,EU,OB-61545,"Thursday, August 03, 2023",2023,UN-2023-286304,Critical,TEC-PH-473957,Theory media.,North,49364,Home Office,"Friday, August 11, 2023",Same Day,England,Phones,0.21,-190.7414,10,850.3946,85.04,2023-08-03,0,659.6532,659.6532,659.6532,659.6532,850
